State Transition: Washing | Timestamp: 2025-01-14 21:56:29
State Transition: Rinsing | Timestamp: 2025-01-14 21:56:32
State Transition: Spinning | Timestamp: 2025-01-14 21:56:34
State Transition: Complete | Timestamp: 2025-01-14 21:56:35
State Transition: Washing | Timestamp: 2025-01-14 21:57:18
State Transition: Rinsing | Timestamp: 2025-01-14 21:57:21
State Transition: Spinning | Timestamp: 2025-01-14 21:57:22
State Transition: Complete | Timestamp: 2025-01-14 21:57:23
State Transition: Washing | Timestamp: 2025-01-14 22:04:54
State Transition: Rinsing | Timestamp: 2025-01-14 22:04:57
State Transition: Spinning | Timestamp: 2025-01-14 22:04:59
State Transition: Complete | Timestamp: 2025-01-14 22:05:00
State Transition: Washing | Timestamp: 2025-01-14 22:05:31
State Transition: Rinsing | Timestamp: 2025-01-14 22:05:34
State Transition: Spinning | Timestamp: 2025-01-14 22:05:36
State Transition: Complete | Timestamp: 2025-01-14 22:05:37
State Transition: Error | Timestamp: 2025-01-14 22:05:58
State Transition: Idle | Timestamp: 2025-01-14 22:06:06
State Transition: Washing | Timestamp: 2025-01-14 22:06:11
State Transition: Rinsing | Timestamp: 2025-01-14 22:06:14
State Transition: Spinning | Timestamp: 2025-01-14 22:06:16
State Transition: Complete | Timestamp: 2025-01-14 22:06:17
